Core: hps_sdram_p0 - Instance: the_system|acl_iface|hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.602,0.598
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.367,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.571,0.374
"Postamble (Slow 1100mV 85C Model)",0.52,0.52
"Read Capture (Slow 1100mV 85C Model)",0.233,0.186
"Write (Slow 1100mV 85C Model)",0.243,0.243
"Address Command (Slow 1100mV 0C Model)",0.588,0.601
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.392,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.579,0.409
"Postamble (Slow 1100mV 0C Model)",0.505,0.505
"Read Capture (Slow 1100mV 0C Model)",0.249,0.202
"Write (Slow 1100mV 0C Model)",0.254,0.254
"Address Command (Fast 1100mV 85C Model)",0.625,0.649
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.5,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.656,0.485
"Postamble (Fast 1100mV 85C Model)",0.597,0.597
"Read Capture (Fast 1100mV 85C Model)",0.37,0.322
"Write (Fast 1100mV 85C Model)",0.312,0.312
"Address Command (Fast 1100mV 0C Model)",0.597,0.679
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.512,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.657,0.508
"Postamble (Fast 1100mV 0C Model)",0.603,0.603
"Read Capture (Fast 1100mV 0C Model)",0.37,0.323
"Write (Fast 1100mV 0C Model)",0.326,0.326
